ID,Merge commit SHA,Parent1,Parent2,Merge Date,File,Topic Branch Version,Mainline Version
1,5717ac3cc67fbda09cf54828e14e463c3fe07566,210e101f6d7677e103b24beb33726a8ed8672c5f,8758c541b35bda1a6494ba703b450517027d5e9f,Wed Apr 19 10:12:11 CEST 2017,core/src/test/java/org/elasticsearch/search/aggregations/metrics/InternalMaxTests.java,"double value = frequently() ? randomDouble() : randomFrom(new Double[] { Double.NEGATIVE_INFINITY, Double.POSITIVE_INFINITY });         DocValueFormat formatter = randomFrom(new DocValueFormat.Decimal(""###.##""), DocValueFormat.BOOLEAN, DocValueFormat.RAW);         return new InternalMax(name, value, formatter, pipelineAggregators, metaData);","return new InternalMax(name, randomDouble(), randomNumericDocValueFormat(), pipelineAggregators, metaData);"
2,5717ac3cc67fbda09cf54828e14e463c3fe07566,210e101f6d7677e103b24beb33726a8ed8672c5f,8758c541b35bda1a6494ba703b450517027d5e9f,Wed Apr 19 10:12:11 CEST 2017,core/src/test/java/org/elasticsearch/search/aggregations/metrics/avg/InternalAvgTests.java,"DocValueFormat formatter = randomFrom(new DocValueFormat.Decimal(""###.##""), DocValueFormat.BOOLEAN, DocValueFormat.RAW);         long count = frequently() ? randomNonNegativeLong() % 100000 : 0;         return new InternalAvg(name, randomDoubleBetween(0, 100000, true), count, formatter, pipelineAggregators, metaData);","return new InternalAvg(name, randomDoubleBetween(0, 100000, true), randomNonNegativeLong() % 100000,                 randomNumericDocValueFormat(), pipelineAggregators, metaData);"
3,5717ac3cc67fbda09cf54828e14e463c3fe07566,210e101f6d7677e103b24beb33726a8ed8672c5f,8758c541b35bda1a6494ba703b450517027d5e9f,Wed Apr 19 10:12:11 CEST 2017,core/src/test/java/org/elasticsearch/search/aggregations/metrics/min/InternalMinTests.java,"double value = frequently() ? randomDouble() : randomFrom(new Double[] { Double.NEGATIVE_INFINITY, Double.POSITIVE_INFINITY });         DocValueFormat formatter = randomFrom(new DocValueFormat.Decimal(""###.##""), DocValueFormat.BOOLEAN, DocValueFormat.RAW);         return new InternalMin(name, value, formatter, pipelineAggregators, metaData);","return new InternalMin(name, randomDouble(), randomNumericDocValueFormat(), pipelineAggregators, metaData);"
4,63e4552c0dc5c5bf9bc29f034e86cca8e0ec9230,e2ebabcb3ca550165ec6cfa6c4d4f02181f6b4fc,0c7fc229b8c22ee820df135e3d1983608759213d,Fri Jan 13 23:07:20 CET 2017,core/src/main/java/org/elasticsearch/transport/TransportService.java,protected DiscoveryNode getLocalNode() {,public DiscoveryNode getLocalNode() {
5,63e4552c0dc5c5bf9bc29f034e86cca8e0ec9230,e2ebabcb3ca550165ec6cfa6c4d4f02181f6b4fc,0c7fc229b8c22ee820df135e3d1983608759213d,Fri Jan 13 23:07:20 CET 2017,core/src/main/java/org/elasticsearch/transport/TransportService.java,"return handshake(connection, handshakeTimeout, clusterName::equals);","final HandshakeResponse response;         final DiscoveryNode node = connection.getNode();         try {             PlainTransportFuture<HandshakeResponse> futureHandler = new PlainTransportFuture<>(                 new FutureTransportResponseHandler<HandshakeResponse>() {                 @Override                 public HandshakeResponse newInstance() {                     return new HandshakeResponse();                 }             });             sendRequest(connection, HANDSHAKE_ACTION_NAME, HandshakeRequest.INSTANCE,                 TransportRequestOptions.builder().withTimeout(handshakeTimeout).build(), futureHandler);             response = futureHandler.txGet();         } catch (Exception e) {             throw new IllegalStateException(""handshake failed with "" + node, e);         }         if (!Objects.equals(clusterName, response.clusterName)) {             throw new IllegalStateException(""handshake failed, mismatched cluster name ["" + response.clusterName + ""] - "" + node);         } else if (response.version.isCompatible(localNode.getVersion()) == false) {             throw new IllegalStateException(""handshake failed, incompatible version ["" + response.version + ""] - "" + node);         }         return response.discoveryNode;"
6,cd236c4de4a9edb8a5fe2a3d159eecd67815f92b,b4c8c21553fe3348e9c447e0deb49dbd81864c9e,e93fdb846083a29dc65505e111e32553d6f7be6c,Fri Jan 13 18:09:18 CET 2017,core/src/test/java/org/elasticsearch/index/mapper/DynamicMappingDisabledTests.java,"TransportService.NOOP_TRANSPORT_INTERCEPTOR, x -> clusterService.localNode(), null);         indicesService = getInstanceFromNode(IndicesService.class);         shardStateAction = new ShardStateAction(settings, clusterService, transportService, null, null, THREAD_POOL);         actionFilters = new ActionFilters(Collections.emptySet());         indexNameExpressionResolver = new IndexNameExpressionResolver(settings);         autoCreateIndex = new AutoCreateIndex(settings, new ClusterSettings(settings, ClusterSettings.BUILT_IN_CLUSTER_SETTINGS),                 indexNameExpressionResolver);","TransportService.NOOP_TRANSPORT_INTERCEPTOR, null);         IndicesService indicesService = getInstanceFromNode(IndicesService.class);         ShardStateAction shardStateAction = new ShardStateAction(settings, clusterService, transportService, null, null, THREAD_POOL);         ActionFilters actionFilters = new ActionFilters(Collections.emptySet());         IndexNameExpressionResolver indexNameExpressionResolver = new IndexNameExpressionResolver(settings);         AutoCreateIndex autoCreateIndex = new AutoCreateIndex(settings, new ClusterSettings(settings,                 ClusterSettings.BUILT_IN_CLUSTER_SETTINGS), indexNameExpressionResolver);         UpdateHelper updateHelper = new UpdateHelper(settings, null);         TransportShardBulkAction shardBulkAction = new TransportShardBulkAction(settings, transportService, clusterService,                 indicesService, THREAD_POOL, shardStateAction, null, updateHelper, actionFilters, indexNameExpressionResolver);         transportBulkAction = new TransportBulkAction(settings, THREAD_POOL, transportService, clusterService,                 null, shardBulkAction, null, actionFilters, indexNameExpressionResolver, autoCreateIndex, System::currentTimeMillis);"
7,2aae409508aeff987fa3d4639648a3465976aff0,4c61f1d75da426b9df1f3bca494d6b53ad271914,baef86b9d3d5f4d3eae94f0d7c33c15ca0e1ca09,Wed Jan 11 12:41:26 CET 2017,core/src/main/java/org/elasticsearch/action/search/AbstractSearchAsyncAction.java,"Transport.Connection connection = nodeIdToConnection.apply(entry.value.shardTarget().nodeId());                 sendReleaseSearchContext(entry.value.id(), connection);","DiscoveryNode node = nodeIdToDiscoveryNode.apply(entry.value.shardTarget().getNodeId());                 sendReleaseSearchContext(entry.value.id(), node);"
8,2aae409508aeff987fa3d4639648a3465976aff0,4c61f1d75da426b9df1f3bca494d6b53ad271914,baef86b9d3d5f4d3eae94f0d7c33c15ca0e1ca09,Wed Jan 11 12:41:26 CET 2017,core/src/main/java/org/elasticsearch/action/search/AbstractSearchAsyncAction.java,"Transport.Connection connection = nodeIdToConnection.apply(entry.value.queryResult().shardTarget().nodeId());                         sendReleaseSearchContext(entry.value.queryResult().id(), connection);","DiscoveryNode node = nodeIdToDiscoveryNode.apply(entry.value.queryResult().shardTarget().getNodeId());                         sendReleaseSearchContext(entry.value.queryResult().id(), node);"
9,2aae409508aeff987fa3d4639648a3465976aff0,4c61f1d75da426b9df1f3bca494d6b53ad271914,baef86b9d3d5f4d3eae94f0d7c33c15ca0e1ca09,Wed Jan 11 12:41:26 CET 2017,core/src/main/java/org/elasticsearch/action/search/SearchDfsQueryAndFetchAsyncAction.java,Transport.Connection connection = nodeIdToConnection.apply(dfsResult.shardTarget().nodeId());,DiscoveryNode node = nodeIdToDiscoveryNode.apply(dfsResult.shardTarget().getNodeId());
10,2aae409508aeff987fa3d4639648a3465976aff0,4c61f1d75da426b9df1f3bca494d6b53ad271914,baef86b9d3d5f4d3eae94f0d7c33c15ca0e1ca09,Wed Jan 11 12:41:26 CET 2017,core/src/main/java/org/elasticsearch/action/search/SearchDfsQueryThenFetchAsyncAction.java,Transport.Connection connection = nodeIdToConnection.apply(queryResult.shardTarget().nodeId());,DiscoveryNode node = nodeIdToDiscoveryNode.apply(queryResult.shardTarget().getNodeId());
